"Techstack","Links"
"React, Node.js, MongoDB","https://github.com/shiv-portfolio"
"Angular,.NET, SQL Server","https://github.com/sakshi-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://github.com/shiv-portfolio"
"Python, Django, MySQL","https://github.com/sakshi-portfolio"
"Java, Spring Boot, Oracle","https://github.com/shiv-portfolio"
"Flutter, Firebase, GraphQL","https://github.com/sakshi-portfolio"
"WordPress, PHP, MySQL","https://github.com/shiv-portfolio"
"Magento, PHP, MySQL","https://github.com/sakshi-portfolio"
"React Native, Node.js, MongoDB","https://github.com/shiv-portfolio"
"iOS, Swift, Core Data","https://github.com/sakshi-portfolio"
"Android, Java, Room Persistence","https://github.com/shiv-portfolio"
"Kotlin, Android, Firebase","https://github.com/sakshi-portfolio"
"Android TV, Kotlin, Android NDK","https://github.com/shiv-portfolio"
"iOS, Swift, ARKit","https://github.com/sakshi-portfolio"
"Cross-platform, Xamarin, Azure","https://github.com/shiv-portfolio"
"Backend, Kotlin, Spring Boot","https://github.com/sakshi-portfolio"
"Frontend, TypeScript, Angular","https://github.com/shiv-portfolio"
"Full-stack, JavaScript, Express.js","https://github.com/sakshi-portfolio"
"Machine Learning, Python, TensorFlow","https://github.com/shiv-portfolio"
"DevOps, Jenkins, Docker","https://github.com/sakshi-portfolio"